"group","words"
"caffeine",19
"caffeine",20
"caffeine",14
"caffeine",16
"caffeine",14
"caffeine",15
"caffeine",16
"caffeine",13
"caffeine",11
"caffeine",16
"caffeine",14
"caffeine",13
"caffeine",19
"caffeine",15
"caffeine",15
"caffeine",16
"caffeine",17
"caffeine",17
"caffeine",17
"caffeine",15
"caffeine",13
"caffeine",21
"caffeine",17
"caffeine",14
"caffeine",13
"caffeine",16
"caffeine",14
"caffeine",13
"caffeine",16
"caffeine",16
"caffeine",12
"caffeine",13
"caffeine",15
"caffeine",15
"caffeine",14
"water",9
"water",7
"water",8
"water",9
"water",10
"water",8
"water",6
"water",10
"water",11
"water",6
"water",10
"water",6
"water",6
"water",10
"water",10
"water",6
"water",4
"water",6
"water",6
"water",9
"water",7
"water",12
"water",6
"water",7
"water",7
"water",6
"water",6
"water",7
"water",9
"water",7
"water",7
"water",7
"water",10
"water",7
"water",5
